학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000005990,전주서곡초등학교,초등학교,2000-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 1474,전북특별자치도 전주시 완산구 서곡7길 30,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83306061,127.1008952,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006014,전주인봉초등학교,초등학교,2001-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동1가 917,전북특별자치도 전주시 덕진구 무삼지로 7,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82691771,127.1650204,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005982,전주효자초등학교,초등학교,1985-06-15,공립,본교,운영,전북특별자치도 전주시 완산구 효자동1가 567,전북특별자치도 전주시 완산구 송정로 47,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80324965,127.1227522,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011626,완산여자고등학교,고등학교,1974-11-18,사립,본교,운영,전북특별자치도 전주시 완산구 평화동1가 500-1,전북특별자치도 전주시 완산구 덕적골1길 60,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79203367,127.1383432,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010214,전주서신중학교,중학교,1998-03-02,공립,본교,운영,전북특별자치도 전주시 완산구 서신동 833,전북특별자치도 전주시 완산구 안터2길 40,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82877973,127.1167419,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006018,전주인후초등학교,초등학교,1998-09-15,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동1가 844,전북특별자치도 전주시 덕진구 무삼지로 67,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.8318225,127.1623981,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012983,우석고등학교,고등학교,1972-03-01,사립,본교,운영,전북특별자치도 전주시 덕진구 동산동 685-1,전북특별자치도 전주시 덕진구 쪽구름2길 22,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.87324481,127.0779915,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005965,전주화산초등학교,초등학교,1971-10-12,공립,본교,운영,전북특별자치도 전주시 완산구 중화산동2가 46-25,전북특별자치도 전주시 완산구 따박골7길 20,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80939327,127.1299903,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005989,전주우전초등학교,초등학교,1924-01-14,공립,본교,운영,전북특별자치도 전주시 완산구 효자동2가 188,전북특별자치도 전주시 완산구 우전2길 11,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80597309,127.1073752,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005973,전주우림초등학교,초등학교,2008-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 효자동2가 1193-6,전북특별자치도 전주시 완산구 소태정로 21,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80662618,127.0982863,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005995,전주북초등학교,초등학교,1993-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 호성동1가 736,전북특별자치도 전주시 덕진구 소리로 180,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.85655402,127.1515186,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010215,전주풍남중학교,중학교,1981-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 효자동1가 504-5,전북특별자치도 전주시 완산구 거마평로 83,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79980046,127.1152469,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010224,전주서곡중학교,중학교,2003-03-03,공립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 1407-4,전북특별자치도 전주시 완산구 서곡6길 23,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83554893,127.1035986,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006011,전주송천초등학교,초등학교,1946-11-01,공립,본교,운영,전북특별자치도 전주시 덕진구 송천동1가 397,전북특별자치도 전주시 덕진구 송천1길 10,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.85682245,127.1199819,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006015,전주전라초등학교,초등학교,1984-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동1가 575-1,전북특별자치도 전주시 덕진구 심방죽로 24,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83919242,127.152228,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012979,완산고등학교,고등학교,1971-12-27,사립,본교,운영,전북특별자치도 전주시 완산구 삼천동3가 417,전북특별자치도 전주시 완산구 능안자구길 55,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80240918,127.083885,2024-03-22,C738100,청주대학교 지방교육재정연구원
