신호등순번,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,시군코드,관리기관명,관리기관전화번호,데이터기준일자
12356,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 987,35.83396452,127.1224972,03,02,N,16,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12357,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 987,35.83392331,127.1224972,03,02,N,16,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12358,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 884,35.83367361,127.1226739,03,02,Y,16,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12359,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 884,35.8336735,127.1227835,03,02,Y,16,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12360,전라북도,전주시,시도,,온고을로,03,,전라북도 전주시 완산구 서신동 884,35.83378082,127.1230508,03,02,N,16,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12361,전라북도,전주시,시도,,온고을로,03,,전라북도 전주시 완산구 서신동 884,35.83374419,127.1230535,03,02,N,16,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12362,전라북도,전주시,시도,,온고을로,03,,전라북도 전주시 완산구 서신동 760-36,35.8339547,127.1231466,03,02,N,16,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12363,전라북도,전주시,시도,,온고을로,03,,전라북도 전주시 완산구 서신동 760-36,35.83391121,127.1231381,03,02,N,16,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12364,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 760-36,35.83401216,127.122919,03,02,Y,16,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12365,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 760-36,35.83400523,127.1229836,03,02,Y,16,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12366,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 760-36,35.83400517,127.1230427,03,02,Y,16,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12367,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 884,35.83223799,127.1229612,03,02,Y,17,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12368,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 884,35.83223577,127.1228938,03,02,Y,17,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12369,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 884,35.83224041,127.1228375,03,02,Y,17,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12370,전라북도,전주시,시도,,당산로,03,,전라북도 전주시 완산구 서신동 878,35.83216517,127.1225394,03,02,N,17,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12371,전라북도,전주시,시도,,당산로,03,,전라북도 전주시 완산구 서신동 878,35.83211023,127.1225394,03,02,N,17,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12372,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 884,35.83203,127.1226376,03,02,Y,17,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12373,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 884,35.83202536,127.1226995,03,02,Y,17,01,03,03,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12374,전라북도,전주시,시도,,전룡로,03,,전라북도 전주시 완산구 서신동 292-29,35.82839256,127.1225449,03,02,N,18,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12375,전라북도,전주시,시도,,전룡로,03,,전라북도 전주시 완산구 서신동 292-29,35.82832389,127.1225476,03,02,N,18,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12376,전라북도,전주시,시도,,전룡로,03,,전라북도 전주시 완산구 서신동 산 13-4,35.82841961,127.122961,03,02,N,18,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12377,전라북도,전주시,시도,,전룡로,03,,전라북도 전주시 완산구 서신동 산 13-4,35.82849514,127.1229751,03,02,N,18,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12378,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 26,35.82851612,127.1226013,03,02,Y,18,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12379,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 26,35.82852291,127.1226856,03,02,Y,18,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12380,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 26,35.82860281,127.1229022,03,02,Y,18,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12381,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 26,35.82859828,127.1228516,03,02,Y,18,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12382,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 294-1,35.82834186,127.1228793,03,02,Y,18,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12383,전라북도,전주시,시도,,유연로,03,,전라북도 전주시 완산구 서신동 993,35.82531602,127.1224109,03,02,N,19,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12384,전라북도,전주시,시도,,유연로,03,,전라북도 전주시 완산구 서신동 993,35.82526337,127.122408,03,02,N,19,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12385,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 710,35.82516017,127.1225933,03,02,Y,19,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12386,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 중화산동2가 710,35.82515321,127.1226776,03,02,Y,19,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12387,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 993,35.82540709,127.1229001,03,02,Y,19,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
12388,전라북도,전주시,시도,,백제대로,03,,전라북도 전주시 완산구 서신동 993,35.82540716,127.1228298,03,02,Y,19,01,04,04,녹색+황색+녹색화살표+적색,02,03,01,N,,,N,Y,N,01,전주시,063-222-1000,2021-12-21
