"시도명",시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
"전북특별자치도",전주시 덕진구,시도,17,동부대로,3,전북특별자치도 전주시 덕진구 동부대로 687,전북특별자치도 전주시 덕진구 우아동3가 746-43,35.84994792,127.1598611,3,2,Y,1,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 809,전북특별자치도 전주시 덕진구 우아동3가 747-63,35.84843776,127.1567955,3,2,Y,2,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,,전북특별자치도 전주시 덕진구 우아동3가 733-8,35.84753806,127.1523969,3,2,Y,3,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 744,전북특별자치도 전주시 덕진구 인후동2가 1574-1,35.84558665,127.150371,3,2,Y,4,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,22:00,07:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 720,전북특별자치도 전주시 덕진구 인후동2가 1557-1,35.8448508,127.1477319,3,2,Y,5,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 702,전북특별자치도 전주시 덕진구 인후동2가 1529-9,35.84424027,127.146008,3,1,Y,5.A,2,3,3,녹색+황색+적색,50+3+50,2,3,1,Y,00:00,06:30,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 681,전북특별자치도 전주시 덕진구 금암동 1595-23,35.84428584,127.1434632,3,2,Y,6,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,00:00,06:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 671,전북특별자치도 전주시 덕진구 금암동 1593-4,35.84404313,127.1426349,3,2,Y,6.A,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,Y,23:00,06:30,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 659,전북특별자치도 전주시 덕진구 금암동 1591-13,35.84365936,127.1412742,3,1,Y,7,2,3,3,녹색+황색+적색,50+3+50,2,3,1,N,00:00,00:00,N,Y,N,,전북특별자치도 전주시청,063-281-5024,2024-01-17
"전북특별자치도",전주시 덕진구,시도,,백제대로,3,전북특별자치도 전주시 덕진구 백제대로 639,전북특별자치도 전주시 덕진구 금암동 1589-1,35.84303518,127.1393153,3,2,Y,8,2,4,4,녹색+황색+녹색화살표+적색,50+3+50+50,2,3,1,N,00:00,00:00,N,Y,Y,,전북특별자치도 전주시청,063-281-5024,2024-01-17
