설치 지점명,지역(구),지역(동),세부주소,행정동,위도,경도
우아롯데아파트,덕진구,우아동 ,우아동 2동 887,우아2동       ,35.83251021,127.16782411
여의동우체국전북은행,덕진구,여의동,여의동2가 696,여의동        ,35.8714162,127.07658384
기린대로경제통상진흥원,덕진구,팔복동,팔복동2가 550,팔복동        ,35.85976063,127.09252754
팔복근린상가,덕진구,팔복동,팔복동 2가 250-21,팔복동        ,35.85328787,127.10516829
추천대교,덕진구,팔복동,팔복동 2가 14-5,팔복동        ,35.85120122,127.10941324
추천대교,덕진구,팔복동,팔복동 2가 11-2,팔복동        ,35.85157764,127.10963811
우아우성아파트,덕진구,우아동 ,우아동 3가 594-23,우아1동       ,35.85520293,127.15564844
완산고입구,완산구,효자동,효자동2가 876-2,효자4동       ,35.79891077,127.09120463
전주박물관전주역사박물관,완산구,효자동,효자동2가 759-19,효자4동       ,35.80003655,127.09346687
전라북도교육청 동암고,완산구,효자동,효자동 2가 368-1,효자4동       ,35.8028949,127.1031382
중앙여고,덕진구,우아동 ,우아2동 904-10,우아2동       ,35.82981818,127.16910791
전라고,덕진구,송천동,송천동1가 482-3,송천2동       ,35.8605886,127.1211436
송천주공2단지(오송초교),덕진구,송천동,송천동2가 1283,송천1동       ,35.86405704,127.1264262
기린대로.원대한방병원,덕진구,덕진동,덕진동2가 137-2,덕진동        ,35.8479443,127.11619494
기린대로.원대한방병원,덕진구,덕진동,덕진동2가 54-8,덕진동        ,35.84824786,127.11676511
호성동주민센터,덕진구,호성동,호성동 1가 산27-1(호성동),,35.86374311,127.15036145
유연로중산공원,완산구,서신동,서신동 916 (중화산2동),,35.82523671,127.12046394
KT북전주지점,덕진구,덕진동,덕진동1가 1402-18,덕진동        ,35.84310173,127.12308347
기린대로덕진공원,덕진구,덕진동,덕진동1가 1357-8,덕진동        ,35.84624591,127.11969439
전북대학교.한나여성병원앞,덕진구,덕진동,덕진동1가 1273-19,덕진동        ,35.8428057,127.12473323
전북대학교.농협앞,덕진구,덕진동,덕진동1가 1267-1,덕진동        ,35.84250102,127.12515768
전북대학교.소나무한의원앞,덕진구,덕진동,덕진동1가 1265-14,덕진동        ,35.84140298,127.12706067
전북대학교.덕진성당앞,덕진구,덕진동,덕진동1가 1266-22,덕진동        ,35.84295672,127.12519715
전북일보사,덕진구,금암동 ,금암동 796,금암1동       ,35.8384609,127.1311667
안골,덕진구,인후동,인후동1가 768-8,인후1동       ,35.83675952,127.15536026
전북대정문.덕진소방서,덕진구,금암동 ,금암동 728-107,금암1동       ,35.84113172,127.13321366
전북대학병원입구,덕진구,인후동,인후동2가 1530-22,인후2동       ,35.84466416,127.14535014
한국장애인고용공단전북지사,덕진구,인후동,인후동2가 1573-2,인후2동       ,35.84642572,127.15111712
금암1동주민센터,덕진구,금암동 ,금암동 470-13,금암1동       ,35.83678745,127.13363898
금암중앙하이츠,덕진구,금암동 ,금암동 526-21,금암1동       ,35.83806254,127.13769274
금암중앙하이츠,덕진구,금암동 ,금암동 561-22,금암2동       ,35.83893341,127.13831493
사대부고사거리,덕진구,금암동 ,금암2동 1587-11,금암2동       ,35.84259848,127.13992156
금암광장,덕진구,금암동 ,금암동 452-8,금암1동       ,35.8330062,127.1373989
금암광장.청담한방병원,덕진구,금암동 ,금암동 451-1,금암1동       ,35.83369489,127.13642739
모래내시장,덕진구,인후동,인후동2가 236-137,인후2동       ,35.83305726,127.14549767
모래내,덕진구,진북동,진북동 336-21,진북동        ,35.83203886,127.14373151
기린대로현대병원,덕진구,진북동,진북동 287-3,진북동        ,35.82894399,127.14283256
기린대로현대병원,덕진구,진북동,진북동 321-7,진북동        ,35.82930275,127.14299561
청소년상담센터.원광신협,덕진구,진북동,진북동 366-1,진북동        ,35.83141844,127.13871665
한국은행.청소년상담센터,덕진구,진북동,진북동 372-1,진북동        ,35.83032546,127.13914965
송천대명아파트,덕진구,송천동,송천동1가 834-4,송천2동       ,35.8630123,127.11478688
중앙시장,완산구,서노송동 ,서노송동 648-34,노송동        ,35.8261437,127.14388436
중앙시장.중앙성당.방송대,완산구,서노송동 ,서노송동 639-40,노송동        ,35.82397975,127.14462905
중앙시장.세이브존,완산구,서노송동 ,서노송동 632-4,노송동        ,35.82440898,127.14478939
대우빌딩,완산구,중노송동 ,중노송동 388-7,노송동        ,35.82578923,127.1465455
전주농협,완산구,서노송동 ,서노송동 568-80,노송동        ,35.82651832,127.14637385
전주시청.노송동시외버스정류소,완산구,서노송동 ,서노송동 568-136,노송동        ,35.82307474,127.14967928
전주시청.노송동시외버스정류소,완산구,서노송동 ,서노송동 568-78,노송동        ,35.82471365,127.14844268
서신제일비사벌아파트,완산구,서신동,서신동 796-4,서신동        ,35.83203405,127.11370662
전북은행경원지점,완산구,경원동,경원동3가 35-10,풍남동        ,35.8209676,127.14605365
북문,완산구,고사동 ,고사동 11-6,중앙동        ,35.82067316,127.14596591
백제대로효자광장,완산구,효자동,효자동1가 639,효자1동       ,35.80664945,127.12338287
CTS전북방송,완산구,경원동,경원동3가 41-1,풍남동        ,35.8199967,127.14640711
전동성당.한옥마을,완산구,전동,전동 55,풍남동        ,35.81459568,127.14816867
전동성당.한옥마을,완산구,전동,전동 55,풍남동        ,35.81462071,127.14835688
남부시장,완산구,전동,전동 191-1,풍남동        ,35.81273721,127.1488857
남부시장,완산구,전동,전동 253-3,풍남동        ,35.81132263,127.14973099
완산동시외버스정류소,완산구,서완산동,서완산동1가 472-2,완산동        ,35.81220216,127.13925744
근영여고,완산구,중화산동,중화산동2가 652-1,중화산2동     ,35.81746507,127.12326236
기린대로 병무청,완산구,경원동,경원동3가 1-6,풍남동        ,35.82102609,127.15214193
효자현대아파트,완산구,효자동,효자동1가 424-5,효자3동       ,35.80556704,127.11302085
안행교,완산구,효자동,효자동1가 281-3,효자2동       ,35.8064225,127.11800285
효자광장,완산구,효자동,효자동1가 297-21,효자2동       ,35.80631791,127.12086554
효자광장,완산구,효자동,효자동1가 270-13,효자2동       ,35.80596921,127.12226214
효자주공3단지,완산구,효자동,효자동1가 144-4,효자1동       ,35.80703339,127.13090392
서부시장,완산구,효자동,효자동1가 186-3,효자1동       ,35.80600325,127.12596271
농협평화지소,완산구,평화동,평화동1가 632,평화2동       ,35.79506129,127.13135157
평화삼성강남아파트,완산구,평화동,평화동2가 300-3,평화2동       ,35.78844676,127.13073783
꽃밭정이네거리,완산구,평화동,평화동1가 711-3,평화2동       ,35.79654849,127.13558091
평화주공1.2단지,완산구,평화동,평화동1가 408-3,평화1동       ,35.798558,127.14142127
완산여고,완산구,평화동,평화동1가 408-4,평화1동       ,35.79770557,127.1390222
장승백이,완산구,평화동,평화동1가 434-23,평화1동       ,35.79936984,127.143604
서서학우정목련아파트,완산구,서서학동 ,서서학동 337-16,서서학동      ,35.80104093,127.14638647
평화코오롱아파트,완산구,평화동,평화동1가 732-4,평화2동       ,35.79356814,127.13225296
공수내다리,완산구,서서학동 ,서서학동 150-2,서서학동      ,35.80524638,127.14953021
진북우성아파트후문,덕진구,진북동,진북동 1169,진북동        ,35.83221319,127.13260158
우아중,덕진구,우아동 ,우아동3가 602-50,우아1동       ,35.85354059,127.15453607
기린중,덕진구,우아동 ,우아동3가 743-10,우아1동       ,35.85455441,127.15760015
